,img_name,n_cells,cell_id,area,min_axis_length,max_axis_length,diameter
0,MAR32C2R3_PVHr_200x_r,73,0,1260,32.2446,51.4761,51.8652
1,MAR31S1C1R2_DMHr_200x_r,5,0,545,19.3011,36.7149,38.0789
2,RT353S2C1R5_r1,57,0,1670,31.0916,75.0505,78.7718
3,RT359S3C1R1_r1,53,0,4860,47.9451,139.7393,146.8911
4,RT359S3C1R1_r1,53,1,3425,40.2838,120.5526,137.9311
5,RT359S3C1R1_r1,53,2,4299,53.508,112.3563,119.365
6,RT359S3C1R1_r1,53,3,4819,51.4953,131.4276,129.6187
7,RT359S3C1R1_r1,53,4,2463,49.4527,68.1434,73.8173
8,RT359S3C1R1_r1,53,5,4638,56.9771,123.3407,124.964
9,RT359S3C1R1_r1,53,6,2913,51.7642,73.331,73.8173
10,RT359S3C1R1_r1,53,7,2748,36.8134,100.7712,119.0798
11,RT359S3C1R1_r1,53,8,6501,62.0123,137.0313,152.5942
12,RT359S3C1R1_r1,53,9,2175,35.694,81.397,90.1388
13,RT359S3C1R1_r1,53,10,2163,41.5412,80.3898,94.1488
14,RT359S3C1R1_r1,53,11,5297,69.9177,106.6733,114.4246
15,RT359S3C1R1_r1,53,12,2873,47.2825,79.7982,86.267
16,RT359S3C1R1_r1,53,13,6727,80.1479,130.0537,129.6341
17,RT359S3C1R1_r1,53,14,3141,46.3409,107.643,105.7592
18,RT359S3C1R1_r1,53,15,4614,64.9046,104.4485,106.066
19,RT359S3C1R1_r1,53,16,7563,86.7167,117.5801,120.5404
20,RT359S3C1R1_r1,53,17,2494,53.2938,71.329,86.977
21,RT359S3C1R1_r1,53,18,1910,43.0488,71.5744,80.455
22,RT359S3C1R1_r1,53,19,2434,53.0288,82.9983,96.3846
23,RT359S3C1R1_r1,53,20,4561,48.9643,133.4198,133.3604
24,RT359S3C1R1_r1,53,21,5088,68.3506,100.0304,106.8878
25,RT359S3C1R1_r1,53,22,4363,49.1298,161.3932,168.2974
26,RT359S3C1R1_r1,53,23,5085,67.0342,102.7144,115.2085
27,RT359S3C1R1_r1,53,24,5282,50.3594,142.0731,158.2561
28,RT359S3C1R1_r1,53,25,4012,63.2337,108.313,119.4362
29,RT359S3C1R1_r1,53,26,3732,46.3587,109.5244,117.6138
30,RT359S3C1R1_r1,53,27,2541,42.6035,89.8581,94.6256
31,RT359S3C1R1_r1,53,28,3255,61.5169,79.9047,86.2844
32,RT359S3C1R1_r1,53,29,5887,74.6387,102.5657,111.3643
33,RT359S3C1R1_r1,53,30,4306,68.0948,84.4389,94.921
34,RT359S3C1R1_r1,53,31,2993,55.1758,76.0169,77.4919
35,RT359S3C1R1_r1,53,32,3972,55.2434,95.8763,95.8801
36,RT359S3C1R1_r1,53,33,4895,64.4787,98.193,98.5951
37,RT359S3C1R1_r1,53,34,1421,39.2073,51.8364,56.3205
38,RT359S3C1R1_r1,53,35,9007,90.2538,129.8048,137.2771
39,RT359S3C1R1_r1,53,36,3619,51.653,102.9243,109.0413
40,RT359S3C1R1_r1,53,37,2276,45.7431,65.3797,69.9714
41,RT359S3C1R1_r1,53,38,4875,44.3167,149.3185,154.185
42,RT359S3C1R1_r1,53,39,7901,71.3051,208.5977,197.0305
43,RT359S3C1R1_r1,53,40,2225,33.1862,88.126,100.2247
44,RT359S3C1R1_r1,53,41,3744,67.4648,73.1837,82.7345
45,RT359S3C1R1_r1,53,42,3699,37.7737,129.7136,139.7033
46,RT359S3C1R1_r1,53,43,3717,43.1774,119.6709,139.8463
47,RT359S3C1R1_r1,53,44,5878,56.0593,138.4677,154.8451
48,RT359S3C1R1_r1,53,45,1823,27.6388,88.4731,87.0
49,RT359S3C1R1_r1,53,46,4206,67.1926,86.5616,94.8262
50,RT359S3C1R1_r1,53,47,3569,47.9295,97.8712,97.0824
51,RT359S3C1R1_r1,53,48,5720,79.5789,107.3332,123.0041
52,RT359S3C1R1_r1,53,49,2040,39.352,87.5158,102.45
53,RT359S3C1R1_r1,53,50,3994,45.7626,117.0153,135.8565
54,RT359S3C1R1_r1,53,51,9228,81.0126,154.1404,154.9226
55,RT359S3C1R1_r1,53,52,4849,58.8099,108.1731,113.7585
56,RT353S2C1R5_r1,57,54,3389,43.9959,100.7155,110.3449
57,RT353S2C1R5_r1,57,55,1458,33.2362,59.4317,67.3573
58,RT353S2C1R5_r1,57,56,1774,32.4476,71.3311,78.4092
59,MAR32C2R3_PVHr_200x_r,73,59,1920,34.1614,85.6027,76.9415
60,MAR32C2R3_PVHr_200x_r,73,60,1090,31.5461,45.8993,50.4777
61,MAR32C2R3_PVHr_200x_r,73,61,856,25.1162,44.1298,50.2195
62,MAR32C2R3_PVHr_200x_r,73,62,819,25.1891,46.1065,48.3011
63,MAR32C2R3_PVHr_200x_r,73,63,507,17.2272,38.9685,40.0
64,MAR32C2R3_PVHr_200x_r,73,64,1077,26.2807,53.7331,54.231
65,MAR32C2R3_PVHr_200x_r,73,65,928,30.01,42.4291,45.2217
66,MAR32C2R3_PVHr_200x_r,73,66,876,24.8624,47.5016,46.0977
67,MAR32C2R3_PVHr_200x_r,73,67,1030,31.4597,42.7672,45.1885
68,MAR32C2R3_PVHr_200x_r,73,68,903,25.3746,45.8005,49.3964
69,MAR32C2R3_PVHr_200x_r,73,69,672,26.3333,32.9656,33.9559
70,MAR32C2R3_PVHr_200x_r,73,70,951,28.4893,44.3711,46.0109
71,MAR32C2R3_PVHr_200x_r,73,71,501,20.7534,33.7373,37.4433
72,MAR32C2R3_PVHr_200x_r,73,72,806,29.6107,38.2355,40.8044
