,img_name,n_cells,cell_id,area,min_axis_length,max_axis_length,diameter
0,Mar23bS1C2R3_VLPAGr_200x,4,0,651,22.1258,41.942,46.1411
1,Mar24bS1C2R3_LHl_200x,6,0,6372,64.9414,142.2359,173.0722
2,Mar32bS2C2R2_DMl_200x,35,0,916,32.9708,35.9229,37.6962
3,Mar19bS1C4R2_LHr_200x,13,0,2221,43.4983,72.1498,73.2462
4,Mar19bS1C4R2_LHr_200x,13,1,884,26.7755,42.6512,44.4072
5,Mar19bS1C4R2_LHr_200x,13,2,1234,33.6319,47.2458,47.8017
6,Mar19bS1C4R2_LHr_200x,13,3,1403,39.5395,48.3447,51.1957
7,Mar19bS1C4R2_LHr_200x,13,4,1910,44.4101,58.7577,65.2763
8,Mar19bS1C4R2_LHr_200x,13,5,1461,31.0694,61.2692,62.9682
9,Mar19bS1C4R2_LHr_200x,13,6,2606,44.0171,77.6981,83.006
10,Mar19bS1C4R2_LHr_200x,13,7,1626,29.6247,74.7471,78.2304
11,Mar19bS1C4R2_LHr_200x,13,8,2602,54.2334,69.7378,84.8999
12,Mar19bS1C4R2_LHr_200x,13,9,3155,48.6952,88.8008,107.6708
13,Mar19bS1C4R2_LHr_200x,13,10,1199,31.1518,50.1023,54.5711
14,Mar19bS1C4R2_LHr_200x,13,11,1175,28.4576,53.834,56.648
15,Mar19bS1C4R2_LHr_200x,13,12,2144,41.3251,75.3412,83.2166
16,Mar32bS2C2R2_DMl_200x,35,14,1004,25.22,51.878,51.9711
17,Mar32bS2C2R2_DMl_200x,35,15,1143,32.9592,46.0336,53.1507
18,Mar32bS2C2R2_DMl_200x,35,16,414,15.2538,37.1721,36.6742
19,Mar32bS2C2R2_DMl_200x,35,17,504,23.4425,36.311,47.2969
20,Mar32bS2C2R2_DMl_200x,35,18,586,22.845,34.303,37.1618
21,Mar32bS2C2R2_DMl_200x,35,19,295,16.2962,23.8047,24.6982
22,Mar32bS2C2R2_DMl_200x,35,20,419,17.8588,36.9139,37.855
23,Mar32bS2C2R2_DMl_200x,35,21,763,27.3796,36.987,36.3593
24,Mar32bS2C2R2_DMl_200x,35,22,1051,35.3408,41.2163,42.5441
25,Mar32bS2C2R2_DMl_200x,35,23,1593,37.8986,56.1604,67.082
26,Mar32bS2C2R2_DMl_200x,35,24,1325,35.6842,47.9502,49.0306
27,Mar32bS2C2R2_DMl_200x,35,25,888,27.5039,41.2814,42.9418
28,Mar32bS2C2R2_DMl_200x,35,26,1627,27.5237,82.7138,86.764
29,Mar32bS2C2R2_DMl_200x,35,27,2049,45.7489,58.4408,59.2284
30,Mar32bS2C2R2_DMl_200x,35,28,1823,45.2233,51.5239,52.6308
31,Mar32bS2C2R2_DMl_200x,35,29,925,20.3869,72.4011,69.6419
32,Mar32bS2C2R2_DMl_200x,35,30,1002,37.2606,38.1807,43.4166
33,Mar32bS2C2R2_DMl_200x,35,31,1163,26.2695,61.4874,69.5701
34,Mar32bS2C2R2_DMl_200x,35,32,865,26.9412,41.2661,43.6578
35,Mar32bS2C2R2_DMl_200x,35,33,1299,35.9543,51.1578,54.4059
36,Mar32bS2C2R2_DMl_200x,35,34,1238,28.4526,57.7636,67.9412
